"lemma_it","UPOS","lemma_parm","lemma_parm_2","lemma_parm_3","lemma_parm_4","lemma_parm_5","lemma_parm_6","lemma_parm_7","lemma_parm_8","lemma_parm_9","LiITA_URI","LiITA_URI_2","LiITA_URI_3","LiITA_URI_4","LiITA_URI_5","LiITA_URI_6","LiITA_URI_7"
"abbagliare","VERB","imbarbajär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959848",,,,,,
"abbaiare","VERB","bajär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959853",,,,,,
"abbaino","NOUN","luzrón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959857",,,,,,
"abbandonare","VERB","bandonär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959869",,,,,,
"abbandono","NOUN","bandón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1088861",,,,,,
"abbassamento","NOUN","zbasäda","zbasamént","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959890",,,,,,
"abbassare","VERB","zbasär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959891",,,,,,
"abbassarsi","VERB","abasäros","zbasärs","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959892",,,,,,
"abbasso","ADV","abàs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1088864",,,,,,
"abbastanza","ADV","abàsta","asè","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959893",,,,,,
"abbattimento","NOUN","masäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959901",,,,,,
"abbeveratoia","NOUN","bevradóra","_","_","_","_","_","_","_","_",,,,,,,
"abbigliato","ADJ","tapä","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22011",,,,,,
"abboccato","ADJ","bocät","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22018",,,,,,
"abbondante","ADJ","bondànt","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22022",,,,,,
"abbondanza","NOUN","pienèssa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959967",,,,,,
"abbondanza","NOUN","balúcch","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959967",,,,,,
"abbondanza","NOUN","bondànsa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959967",,,,,,
"abbordare","VERB","bordär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/959978",,,,,,
"abbottonato","ADJ","botonä","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22029",,,,,,
"abbracciare","VERB","abrasär","brasär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960006",,,,,,
"abbreviare","VERB","abreviär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960017",,,,,,
"abbronzarsi","VERB","broväres","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960030",,,,,,
"abbrustolire","VERB","bestolir","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960048",,,,,,
"abilità","NOUN","abilitä","bravura","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960101",,,,,,
"abito","NOUN","abit","vesti","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1088880",,,,,,
"abito","NOUN","tap","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1088880",,,,,,
"abituarsi","VERB","abituäres","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960124",,,,,,
"abolire","VERB","abolír","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960147",,,,,,
"abolizione","NOUN","abolisión","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960151",,,,,,
"aborrire","VERB","borir","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960171",,,,,,
"abortire","VERB","bortír","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960174",,,,,,
"abusare","VERB","abuzär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960215",,,,,,
"abusivo","ADJ","abuziv","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960220",,,,,,
"abuso","NOUN","abúz","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960222",,,,,,
"accadere","VERB","acàder","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960264",,,,,,
"accanimento","NOUN","acanimént","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960294",,,,,,
"accanirsi","VERB","acanires","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960296",,,,,,
"accanto","ADV","contr’ùss","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960297",,,,,,
"accapigliarsi","VERB","scarmignäros","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960310",,,,,,
"accarezzamento","NOUN","caresamént","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960324",,,,,,
"accarezzare","VERB","caresär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960325",,,,,,
"accartocciare","VERB","inscartociär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960333",,,,,,
"accasarsi","VERB","cazäres","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960339",,,,,,
"accattivarsi","VERB","ingrasiärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960364",,,,,,
"accavallare","VERB","incavalär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960373",,,,,,
"accecare","VERB","inorbir","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960381",,,,,,
"accelerare","VERB","zgazär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960388",,,,,,
"accendere","VERB","impisär","piär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960397",,,,,,
"acceso","ADJ","apiä","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22121",,,,,,
"accetta","NOUN","zguròt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960454",,,,,,
"accettare","VERB","acetär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960457",,,,,,
"accidente","NOUN","asidént","lantfiddogh","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960526",,,,,,
"accidenti","INTJ","cujùss","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960527",,,,,,
"accigliato","ADJ","ingrondä","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22135",,,,,,
"acciuga","NOUN","inciòvva","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960557",,,,,,
"acclamazione","NOUN","aclamasión","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960565",,,,,,
"accoccolarsi","VERB","ranzgnäros","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960582",,,,,,
"accoccolato","ADJ","aguvi","gui","guvi","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22150",,,,,,
"accoglienza","NOUN","acoliénsa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960586",,,,,,
"accoltellare","VERB","cortlär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960606",,,,,,
"accomodare","VERB","comdär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960621",,,,,,
"accompagnare","VERB","compagnär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960628",,,,,,
"accompagnatrice","NOUN","flìppa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1053644",,,,,,
"accoppare","VERB","acopär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960663",,,,,,
"accorare","VERB","acorär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960673",,,,,,
"accorciarsi","VERB","scurtäros","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960681",,,,,,
"accorciata","NOUN","scurtäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960682",,,,,,
"accordarsi","VERB","acordäros","giustärs","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960689",,,,,,
"accordo","NOUN","acòrdi","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1088929",,,,,,
"accorgersi","VERB","acòrzors","adärs","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960696",,,,,,
"accorto","ADJ","acòrt","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22177",,,,,,
"accostare","VERB","acostär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960708",,,,,,
"accostarsi","VERB","acostärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960710",,,,,,
"accrescimento","NOUN","carsimónia","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1088937",,,,,,
"accucciarsi","VERB","cuciärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960753",,,,,,
"accusa","NOUN","acuza","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960774",,,,,,
"accusare","VERB","acuzär","cuzär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960777",,,,,,
"acerbo","ADJ","azerb","zèrb","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960793",,,,,,
"acerbo","ADJ","malmadur","vérd","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960793",,,,,,
"aceto","NOUN","azèi","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960829",,,,,,
"acido","ADJ","àsid","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960873",,,,,,
"acqua","NOUN","zmôj","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960929",,,,,,
"acquazzone","NOUN","acquéri","squasón","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/960972",,,,,,
"acquistare","VERB","quistär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961002",,,,,,
"acquistato","ADJ","cómper","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/22212",,,,,,
"acquisto","NOUN","acquìst","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961003",,,,,,
"acquitrino","NOUN","mojàsch","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961005",,,,,,
"adagiarsi","VERB","azaquärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961103",,,,,,
"adagio","ADV","adäzi","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1088975",,,,,,
"adattarsi","VERB","adatärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/961115",,,,,,
