ID	POS	ENTRATA	NUMERO	GENERE	traduzione1	traduzione2	traduzione3	traduzione4	traduzione5	traduzione6	traduzione7	traduzione8	traduzione9	variant1	variant2	variant3	variant4	variant5	variant6	variant7	variant8	variant9	variant10	variant11	variant12	variant13	variant14	variant15	variant16
1	NOUN	dicembri	s	m	dicembre									dicièmmuru	dicèmmiru	dicembru	dicèmmuru	dicièmmiru	ricièmmiru	ricièmmuru									
2	NOUN	sicilianu		m	siciliano	lingua siciliana																							
3	ADJ	sicilianu		m	siciliano																								
4	NOUN	nglisi	s	m	inglese									ngrisi	nghisi														
5	NOUN	francisi	s	m	francese																								
6	NOUN	francisi	p	m	francesi																								
7	NOUN	francisi	s	m	lingua francese																								
8	NOUN	astronumìa	s	f	astronomia																								
9	NOUN	ulannisi	s	m	olandese																								
10	NOUN	ulannisi	s	m	lingua olandese																								
11	NOUN	talianu	s	m	italiano																								
12	NOUN	talianu	s	m	lingua italiana																								
13	ADJ	talianu	s	m	italiano																								
14	NOUN	arbanisi	s	m	albanese																								
15	NOUN	arbanisi	s	m	lingua albanese																								
16	DET	a	s	f	la									la															
17	PRON	a	s	f	la																								
18	ADP	a			a	ad																							
19	ADP	â	s	f	alla									a la	alla														
20	ADJ	abbabbasunatu	s	m	intontito	rimbecillito								abbabbasunutu															
21	VERB	abbabbiri			rendere stupido	istupidire																							
22	NOUN	dicièmmuru	s	m	dicembre									dicèmmiru	dicembri	dicembru	dicèmmuru	dicièmmiru	ricièmmiru	ricièmmuru									
23	NOUN	dicèmmiru	s	m	dicembre									dicièmmuru	dicembri	dicembru	dicèmmuru	dicièmmiru	ricièmmiru	ricièmmuru									
24	PROPN	Malta	s	f	Malta																								
25	NOUN	tudiscu	s	m	tedesco									tidiscu	tedescu														
26	NOUN	tudiscu	s	m	lingua tedesca									tidiscu	tedescu														
27	NOUN	tidiscu	s	m	tedesco									tudiscu tedescu															
28	NOUN	tidiscu	s	m	lingua tedesca									tudiscu	tedescu														
29	NOUN	giappunisi	s	m	giapponese									jappunisi	iappunisi														
30	NOUN	giappunisi	s	m	lingua giapponese									jappunisi	iappunisi														
31	NOUN	nuvèmmiru	s	m	novembre									nuvèmmuru	nuvembru	nuvembri	nuvièmmaru	nuvièmmiru	nuvièmmuru	nuvièmmiri	nuviembri	nuviembru							
32	PROPN	Liechtenstein	s	m	Liechtenstein																								
33	NOUN	addu	s	m	gallo									gaddu	jaddu	iaddu													
34	VERB	adduari			affittare	dare in affitto								addugari	allucari	lucari													
35	NOUN	addubba			specie di salsa																								
36	VERB	addubbari			addobbare	adornare	sistemare																						
37	VERB	addubbulari			raddoppiare									addubulari															
38	VERB	addugari			affittare	mettersi a servizio di qualcuno								adduari	allucari	lucari													
39	VERB	addugghiari			aver dolore al ventre									addugliari															
40	VERB	addugliari			aver dolore al ventre									addugghiari															
41	VERB	addumari			accendere																								
42	VERB	addummari			domare																								
43	NOUN	addummi	p	m	datteri di palma selvatica									dummi															
44	VERB	addunari			accorgersi	avvedersi								addunàrisi															
45	ADV	addunca			dunque									dunca	dunchi														
46	NOUN	adduorfu	s	m	galletto non bene castrato									addorfu	gadduorfu	gadduffu	gaddorfu	iadduorfu	jadduorfu	jadduffu	iadduffu	adduffu							
47	VERB	addurmìsciri			addormentarsi									addrummìsciri															
48	VERB	adduttari			lottare									alluttari	luttari														
49	ADJ	addutu	s	m	pettoruto									gaddutu															
50	NOUN	adenzia	s	f	udienza	ascolto	attenzione							arenzia	adenza	arenza	audienza	aurienzia	denzia	denza	audenza	audenzia	audienzia	aurenzia					
51	VERB	adirari			adirare	adirarsi	ventilare																						
52	VERB	adirguiri			alzarsi	adergersi	innalzarsi																						
53	VERB	accuccari			beffare	languire																							
54	VERB	accucchiari			accoppiare									ncucchiari															
55	VERB	accucciari			accucciare	coricarsi	coprire bene	accostare	addossare					aggucciari															
56	VERB	accucucciari			colmare									ncucucciari															
57	ADV	accuddì			in quel modo																								
58	VERB	accuddurari			dare forma di ciambella																								
59	VERB	accudiari			scodinzolare									cudiari															
60	VERB	accuffari			accosciarsi	rannicchiarsi																							
61	VERB	accufulari			accosciarsi	rannicchiarsi								accuffulàrisi															
62	VERB	acculazzari			andar a male	accartocciarsi	non maturare	incatorzolire	imbozzacchire																				
63	ADJ	acculazzatu	s	m	andato a male	accartocciato	non maturato	incatorzolito	imbozzacchito																				
64	NOUN	accuminzagghia			cominciamento	comincio	principio																						
65	VERB	accuminzari			cominciare									cuminzari	accuminciari	cuminciari													
66	VERB	accuncumiddari			accoccolarsi																								
67	VERB	accunzari			rimettersi in libertà dopo aver soddisfatto alla giustizia																								
68	NOUN	accùpa			difficoltà di respiro	senso di soffocamento																							
69	VERB	accupari			coprire	nascondere	soffocare	venir meno						cupari															
70	VERB	accupunari			coprire per bene	imbottire di coperte																							
71	VERB	accurari			badare	prestare attenzione																							
72	VERB	accurchittari			agganciare									accrucchittari															
73	VERB	accurinari			rattoppare scarpe																								
74	VERB	accurzari			accorciare	abbreviare																							
75	NOUN	accussata	s	f	viaggio	andata																							
76	ADV	accussì			così	in questo modo								a ccussì	a cussì	cussì	ccussì	accussini	cussini	ccussini									
77	VERB	accusturari			eseguire delle costure									ncusturari															
78	VERB	accuttufari			percuotere per bene									accutufari															
79	VERB	accutturari			cuocere lentamente																								
80	VERB	accutufari			percuotere per bene									accuttufari															
81	VERB	accuzzari			fare inchinare il capo con violenza																								
82	NOUN	aceddu	s	m	uccello									ancieddu	acieddu	auceddu	oceddu												
83	NOUN	aceddu	s	m	cazzo	pene								cedda															
84	VERB	aciddiari			bighellonare	andar vagando	andar errando di qua e di là	vagare	dondoalrsela					auciddiari	ciddiari	ociddiari													
85	NOUN	aciddittu	s	m	cannella delle fontane per lo sgorgo delle acque									cillitta															
86	NOUN	acieddu	s	m	uccello									ancieddu	aceddu	auceddu	oceddu												
87	NOUN	àciru	s	m	acero																								
88	VERB	acitiri			inacetire									acitiari															
89	ADJ	àcitu	s	m	acido																								
90	NOUN	àcitu	s	m	acido																								
91	NOUN	acìtula			acetosella dei boschi									acìtrula															
92	NOUN	aciu	s	m	agio	cesso								agiu	aggiu														
93	VERB	acquari			annacquare																								
94	VERB	acquariari			imbeversi									acquariàrisi															
95	NOUN	acquazzina			rugiada																								
96	NOUN	acquazzuni	s	m	acquazzone																								
97	ADJ	acquignu	s	m	acqueo																								
98	NOUN	àcula	s	f	aquila									jàcula	iàcula	aicula													
99	ADV	adaciu 			adagio									araciu	adasciu	arasciu	adagiu	adaggiu											
100	ADV	addabbanna			al di là	a quella parte								a dda bbanna	a dda banna	addabanna	ddabbanna												
101	NOUN	addàinu	s	m	daino									addàniu															
102	NOUN	addàniu	s	m	daino									addàinu															
103	NOUN	addanti	s	m	daino comune									danti															
104	VERB	addascialari			allagare																								
105	NOUN	addàuru	s	m	alloro									làuru															
106	VERB	addazzari			allacciare									allazzari															
107	VERB	addelfinari			fabbricare una scarpata																								
108	ADV	addesi			a poco a poco																								
109	NOUN	addevu	s	m	lattante	allievo								addievu															
110	ADJ	addicatu	s	m	svenuto	accanito																							
111	VERB	addiccari			adescare	allettare	abituare							alliccari															
112	VERB	addicìdiri			digerire									dicìdiri	dicìtiri														
113	ADV	addiddì			a spasso									diddì	a ddì ddì	ddaddà													
114	NOUN	addievu	s	m	lattante									addevu															
115	VERB	addiiri			scegliere									addijiri															
116	VERB	addimannari			dimandare	chiedere l'elemosina								dimannari	addumannari	dumannari													
117	NOUN	addimànnita			domanda	richiesta																							
118	VERB	addiminari			indovinare									nniminari	anniminari	nnuminari													
119	VERB	addimurari			dimorare	intrattenersi								dimurari															
120	VERB	addingari			rivolgersi malvolentieri a uno per chiedergli qualcosa	rivolgersi a qualcuno per un favore	importunare							ndingari	nningari	anningari													
121	VERB	addisiccari			disseccare									disiccari	sdisiccari														
122	VERB	addisirtari			disertare	abortire								disirtari															
123	NOUN	àddita	s	f	aggiunta									àdditu															
124	NOUN	àdditu	s	m	aggiunta									àddita															
125	VERB	addivinari			indovinare									divinari															
126	NOUN	addorfu	s	m	galletto non bene castrato									adduorfu	gadduorfu	gadduffu	gaddorfu	iadduorfu	jadduorfu	jadduffu	iadduffu	adduffu							
127	ADV	addritta			in piedi	all' impiedi								a ddritta	a la dritta	aggritta													
128	VERB	addrivigghiari			svegliare									addrivigliari	asdrivigghiari	asdrivigliari	ddruvigghiari	ddrivigghiari	arrivigghiari	sdrivigghiari									
129	VERB	addrivigliari			svegliare									addrivigghiari	asdrivigghiari	asdrivigliari	ddruvigghiari	ddrivigghiari	arrivigghiari	sdrivigghiari									
130	NOUN	addrizzu	s	m	ornamento d'oro	finimento																							
131	VERB	addrummìsciri			addormentarsi									addurmìsciri															
132	VERB	abbrivirari			abbeverare									abbivirari															
133	NOUN	abbruciareddu	s	m	spiga matura									abbruciarieddu	bruciarieddu	bruciareddu													
134	NOUN	abbruciarieddu	s	m	spiga matura									abbruciareddu	bruciarieddu	bruciareddu													
135	VERB	abbruscari			bruciacchiare	bruciare erbe secche sul terreno	abbrustiare	abbrustolire						bruscari															
136	VERB	abbuccari			versare da un recipiente il contenuto d'un liquido	abbattere								bbuccari															
137	NOUN	abbuccu	s	m	rimbocco	orlo	rimboccatura																						
138	NOUN	abbuccuni	s	m	boccone									buccuni	vuccuni	muccuni	mmuccuni												
139	VERB	abbudari			ristoppare	turare commessure								abbutari															
140	VERB	abbuddari			tuffare	immergere	ammollare	andare sottacqua	affondare	ammaccare	bollare			abbullari	mbuddari														
141	VERB	abbudurari			saziare	intripparsi								abbuturari															
142	VERB	abbuffari			gonfiare	far gonfiare	rimpinzare	far mangiare fino alla nausea						abbuffàrisi	bbuffari														
143	NOUN	abburaturi	s	m	lavoratore del rame																								
144	ADJ	abburdunarutu	s	m	zotico	rozzo																							
145	VERB	abburgiari			abbicare																								
146	VERB	abburracciari			bere molto																								
147	VERB	abbuscari			guadagnare	ottenere	cercare	buscarsi						vuscari	buscari														
148	VERB	abbusillari			dare busse																								
149	VERB	abbutari			accostare	appoggiare	socchiudere							abbudari															
150	VERB	abbuttari			gonfiare	saziare	essere infastidito							bbuttari															
151	VERB	abbuturari			saziare fino all'estremo									abbudurari															
152	VERB	abbuzzari			ingozzare un'ingiuria	ingoiare un'ingiuria	ammaccare																						
153	VERB	abbuzzicari			muoversi dimenandosi																								
154	NOUN	abbraamentu	s	m	raucedine	arrochimento								abbragamentu															
155	VERB	abbrigliari			prendere uccelli																								
156	VERB	abbriscari			smielare																								
157	INTJ	accà																											
158	VERB	accabbari			finire	terminare								accapari															
159	VERB	accalari			abbassarsi	umiliarsi																							
160	VERB	accalumari			calumare									calumari	galumari														
161	ADV	accamadora			per ora	per il momento								accamarora	a camadora	camadora	camaruora												
162	ADV	accamora			per ora	per il momento								a ccamora	camora	ccamora	accamuora												
163	NOUN	accanìa			acchinea	achinea	chinea																						
164	VERB	accanzari			ottenere																								
165	VERB	accapari			accattivarsi																								
166	VERB	accapizzari			accomodare																								
167	VERB	accapunari			castrare																								
168	NOUN	accarpagghiu	s	m	presa	manico	occasione																						
169	VERB	accarpari			afferrare									ccarpari															
170	VERB	accarusari			tosare									carusari															
171	VERB	accattari			comprare																								
172	VERB	accaudanari			accaldarsi																								
173	NOUN	accettu	s	m	occhiello									acchettu	acchiettu	acciettu													
174	NOUN	acchettu	s	m	occhiello									accettu	acchiettu	acciettu													
175	VERB	acchiaccari			legare con un cappio	accappiare								agghiaccari															
176	VERB	acchianari			salire									nchianari															
177	VERB	acchiancari			fare ceppo	radicare																							
178	VERB	acchianculari			accoccolarsi	rannicchiarsi								acchianculàrisi	nchianculari														
179	VERB	acchicchiari			sbirciare	socchiudere gli occhi								acchiacchiari															
180	NOUN	acchiettu	s	m	occhiello									accettu	acchettu	acciettu													
181	VERB	acchiummari			mettere a piombo																								
182	NOUN	accia	s	f	sedano	apio								acciu															
183	ADJ	acciaccatu	s	m	impacciato	impicciato	infermiccio																						
184	NOUN	acciaccu	s	m	intrigo	impiccio	infermità																						
185	ADJ	acciaccusu	s	m	infermiccio																								
186	VERB	acciappulari			cadere come in trappola																								
187	VERB	accicciari			afferrare																								
188	VERB	accìdiri			uccidere	ammazzare								uccìdiri	auccìdiri														
189	NOUN	acciettu	s	m	occhiello									acchettu	acchiettu	accettu													
190	VERB	accimari			scapitozzare	scapitozzolare	mozzare	cimare	scamozzare																				
191	VERB	accippari			abbarbicarsi																								
192	VERB	accirrari			afferrare									acciurrari															
193	VERB	acciuccari			diventare chioccia																								
